,Institution,Found Year,Total Students,Total International Students,Undergraduate Students,Undergraduate International Students,Graduate Students,Graduate International Students
0,Anshun University,1938,,,,,,
0,Hebei University of Architecture,1950,,,,,,
0,Hulunbuir University,1977,,,,,,
0,Nanjing Normal University of Special Education,1982,,,,,,
0,Xinyu University,1985,,,,,,
0,Baicheng Normal University,1958,,,,,,
0,Aba Teachers University,1938,,,,,,
0,Shaanxi Xueqian Normal University,1963,,,,,,
0,Daqing Normal University,1965,,,,,,
0,Jingchu University of Technology,1956,,,,,,
0,Zhengzhou Institute of Technology,1980,,,,,,
0,Chuxiong Normal University,1936,,,,,,
0,Liupanshui Normal University,1978,,,,,,
0,Wuzhou University,1985,,,,,,
0,Hezhou University,1943,,,,,,
0,Guilin University of Aerospace Technology,1979,,,,,,
0,Changsha Normal University,1912,,,,,,
0,Yuzhang Normal University,1908,,,,,,
0,Ankang University,1958,,,,,,
0,Henan Institute of Technology,1975,,,,,,
0,Tangshan College,1956,,,,,,
0,Hebei University of Environmental Engineering,1981,,,,,,
0,Yuncheng University,1978,,,,,,
0,Baoding University,1904,,,,,,
0,Baoshan University,1978,,,,,,
0,North China Institute of Science and Technology,1984,,,,,,
0,Lanzhou University of Arts and Science,1950,,,,,,
0,"College of Applied Science, Jiangxi University of Science and Technology",2001,,,,,,
0,Lanzhou Institute of Technology,1942,,,,,,
0,Xingyi Normal University for Nationalities,1813,,,,,,
0,Xinzhou Teachers University,1958,,,,,,
0,"Shengli College, China University of Petroleum",1979,,,,,,
0,Cangzhou Normal University,1958,,,,,,
0,Qiongtai Normal University,1705,,,,,,
0,Xingtai University,1910,,,,,,
0,Sichuan University for Nationalities,1985,,,,,,
0,Handan College,1905,,,,,,
0,Guizhou University of Engineering Science,2005,,,,,,
0,Heihe University,1958,,,,,,
0,Baise University,1938,,,,,,
0,Hengshui University,1923,,,,,,
0,Guangxi Normal University for Nationalities,1939,,,,,,
0,Suihua University,1953,,,,,,
0,Puer University,1978,,,,,,
0,Hanjiang Normal University,1904,,,,,,
